timestamp,minValue,maxValue,mean,stdDev,nSamples
8433931652,8.25688267,10.7142868,9.24577332,1.06974363,5
8434931656,9.09090614,12.2807026,10.6944265,1.48616564,5
8435931660,9.09090614,11.5044231,10.3867626,0.917924523,5
8436931668,10.7142868,12.2807026,11.4974947,0.904370546,4
8437931672,9.09090614,12.2807026,10.8609209,1.18383181,5
8438931676,9.09090614,11.5044231,10.3867626,0.917924523,5
8439931680,9.09090614,11.5044231,10.7035103,1.13776541,4
8440931684,9.09090614,12.2807026,10.7000465,1.26088703,5
8441931688,9.09090614,12.2807026,10.37537,1.45098257,5
8442931696,9.09090614,11.5044231,10.5447893,1.04730237,5
8443931700,9.9099102,13.0434809,11.293025,1.3362546,4
8444931704,9.09090614,12.2807026,10.7028942,1.12787116,5
8445931708,9.09090614,13.0434809,10.6945744,1.47526157,5
8446931712,10.7142868,12.2807026,11.1058903,0.783207834,4
8447931716,9.09090614,12.2807026,10.8553009,1.42217076,5
8448931720,9.09090614,12.2807026,10.5362453,1.43092704,5
8449931724,9.09090614,11.5044231,10.5447893,1.04730237,5
8450931732,9.9099102,12.2807026,11.1023312,1.02024233,4
8451931736,9.09090614,12.2807026,11.1742039,1.33317089,5
8452931740,9.9099102,11.5044231,10.5505638,0.667894602,5
8453931744,9.9099102,12.2807026,11.2998648,0.996277153,4
8454931752,9.09090614,12.2807026,10.7000456,1.26088727,5
8455931752,9.9099102,12.2807026,10.7029715,1.12008917,5
8456931760,9.09090614,11.5044231,10.7056656,0.985345721,5
8457931764,10.7142868,12.2807026,11.3034248,0.750475109,4
8458931768,9.09090614,12.2807026,10.8609209,1.18383181,5
8459931772,9.09090614,11.5044231,10.3867626,0.917924523,5
8460931776,9.9099102,11.5044231,10.7071667,0.920592487,4
8461931784,9.09090614,12.2807026,10.7000456,1.26088727,5
8462931788,9.09090614,12.2807026,10.5420179,1.18191183,5
8463931792,9.09090614,12.2807026,10.8609209,1.18383169,5
8464931796,10.7142868,12.2807026,11.3034248,0.750475109,4
8465931800,9.09090614,13.0434809,11.0134764,1.43503082,5
8466931808,9.09090614,12.2807026,10.7000465,1.2608875,5
8467931808,9.9099102,13.0434809,11.293025,1.3362546,4
8468931816,9.09090614,12.2807026,10.8609209,1.18383169,5
8469931820,9.09090614,12.2807026,10.2202682,1.2051779,5
8470931824,9.09090614,11.5044231,10.7056656,0.985345721,5
8471931828,10.7142868,12.2807026,11.3034248,0.750475109,4
8472931832,9.9099102,12.2807026,11.0247221,0.900436819,5
8473931836,9.09090614,12.2807026,10.7000465,1.2608875,5
8474931844,9.9099102,12.2807026,10.9012365,1.18774521,4
8475931848,9.09090614,12.2807026,10.8609209,1.18383169,5
8476931852,9.9099102,12.2807026,10.5449448,1.03093886,5
8477931856,9.09090614,11.5044231,10.7056656,0.985345662,5
8478931860,10.7142868,12.2807026,11.3034248,0.750475228,4
8479931864,9.9099102,13.0434809,11.0107832,1.53136516,5
8480931872,9.09090614,12.2807026,10.5391703,1.30901229,5
8481931872,9.9099102,12.2807026,11.1023312,1.02024233,4
8482931880,9.09090614,12.2807026,10.7000456,1.26088727,5
8483931884,9.09090614,12.2807026,10.5391703,1.30901241,5
8484931888,9.09090614,11.5044231,10.5476379,0.883292437,5
8485931892,10.7142868,12.2807026,11.4974947,0.904370546,4
8486931900,9.09090614,13.0434809,10.846982,1.71173692,5
8487931900,9.09090614,12.2807026,10.5391703,1.30901229,5
8488931908,9.9099102,12.2807026,11.1023312,1.02024233,4
8489931912,9.09090614,12.2807026,10.7000456,1.26088727,5
8490931916,9.09090614,12.2807026,10.5391703,1.30901241,5
8491931920,9.09090614,11.5044231,10.5476379,0.883292437,5
8492931928,10.7142868,12.2807026,11.4974947,0.904370546,4
8493931928,9.09090614,13.0434809,10.846982,1.71173692,5
8494931936,9.09090614,12.2807026,10.5391703,1.30901229,5
8495931940,9.9099102,12.2807026,11.1023312,1.02024233,4
8496931944,9.09090614,11.5044231,10.5447903,1.04730272,5
8497931960,9.9099102,12.2807026,10.5449448,1.03093886,5
8498931952,9.09090614,11.5044231,10.3867626,0.917924523,5
8499931956,10.7142868,12.2807026,11.5009584,0.639499307,4
8500931964,9.9099102,13.0434809,10.8555269,1.40452707,5
8501931968,9.09090614,12.2807026,10.7000465,1.2608875,5
8502931972,10.7142868,12.2807026,11.3034248,0.750475228,4
8503931976,9.09090614,11.5044231,10.5447903,1.04730272,5
8504931980,9.9099102,12.2807026,10.5449448,1.03093886,5
8505931984,9.09090614,11.5044231,10.3867626,0.917924523,5
8506931992,10.7142868,12.2807026,11.5009584,0.639499307,4
8507931996,9.9099102,13.0434809,10.8555269,1.40452707,5
8508932000,9.09090614,12.2807026,10.5420189,1.18191195,5
8509932004,10.7142868,12.2807026,11.3034248,0.750475228,4
8510932008,9.09090614,11.5044231,10.5476379,0.883292258,5
8511932012,9.9099102,12.2807026,10.8638468,1.03200984,5
8512932020,9.09090614,11.5044231,10.3867626,0.917924523,5
8513932024,10.7142868,12.2807026,11.3034248,0.750475228,4
8514932028,9.09090614,13.7931051,10.841651,1.86760092,5
8515932032,9.09090614,11.5044231,10.5447893,1.04730237,5
8516932036,10.7142868,12.2807026,11.3034248,0.750475228,4
8517932040,9.09090614,11.5044231,10.3867626,0.917924404,5
8518932048,9.9099102,12.2807026,10.8638468,1.03200984,5
8519932052,9.09090614,11.5044231,10.3867626,0.917924523,5
8520932064,10.7142868,12.2807026,11.3034248,0.750475109,4
8521932060,9.9099102,13.0434809,11.0164032,1.31216788,5
8522932064,9.09090614,12.2807026,10.5391703,1.30901241,5
8523932068,9.9099102,12.2807026,11.2998648,0.996277094,4
8524932076,9.9099102,11.5044231,10.5505638,0.667894483,5
8525932076,9.9099102,12.2807026,10.7058201,0.967902839,5
8526932084,9.09090614,11.5044231,10.5447893,1.04730237,5
8527932088,10.7142868,12.2807026,11.3034248,0.750475228,4
8528932092,9.09090614,13.0434809,10.8526011,1.51955545,5
8529932096,9.09090614,11.5044231,10.5447893,1.04730237,5
8530932100,9.9099102,12.2807026,11.2998648,0.996277094,4
8531932104,9.9099102,11.5044231,10.5505638,0.667894483,5
8532932112,9.9099102,12.2807026,10.3840685,1.06025052,5
8533932116,9.09090614,12.2807026,10.5420189,1.18191195,5
8534932120,10.7142868,11.5044231,11.109355,0.456185281,4
8535932124,9.09090614,12.2807026,10.8580732,1.31161189,5
8536932128,9.09090614,11.5044231,10.3839149,1.07614005,5
8537932132,9.09090614,11.5044231,10.7035103,1.13776541,4
8538932148,9.09090614,11.5044231,10.5447903,1.0473026,5
8539932144,9.09090614,13.0434809,10.533699,1.51587391,5
8540932148,9.09090614,11.5044231,10.702817,1.13519549,5
8541932152,9.9099102,12.2807026,10.9047966,0.992556334,4
8542932156,9.09090614,12.2807026,10.7028942,1.12787116,5
8543932160,9.09090614,13.0434809,10.6945744,1.47526157,5
8544932168,10.7142868,11.5044231,10.9118214,0.395068318,4
8545932172,9.09090614,12.2807026,11.0189476,1.21177173,5
8546932176,9.09090614,12.2807026,10.8609209,1.18383181,5
8547932180,9.09090614,11.5044231,10.2229614,1.08259451,5
8548932184,9.9099102,11.5044231,10.9082603,0.7627033,4
8549932188,9.09090614,12.2807026,10.7028942,1.12787116,5
8550932196,9.9099102,13.0434809,11.0164022,1.31216764,5
8551932200,10.7142868,11.5044231,11.109355,0.45618543,4
8552932204,9.9099102,12.2807026,10.8638468,1.03200972,5
8553932208,9.09090614,12.2807026,10.5306253,1.63220799,5
8554932212,9.09090614,11.5044231,10.5447893,1.04730237,5
8555932216,9.09090614,12.2807026,10.8975792,1.36369026,4
8556932220,9.09090614,12.2807026,10.7028942,1.12787116,5
8557932224,9.09090614,13.0434809,10.533699,1.51587355,5
8558932232,9.9099102,11.5044231,10.5096331,0.763942778,4
8559932236,9.9099102,11.5044231,10.8666182,0.87335068,5
8560932240,9.09090614,11.5044231,10.3867626,0.917924404,5
8561932244,9.9099102,11.5044231,10.7114391,0.563759208,5
8562932248,9.09090614,12.2807026,10.8975792,1.36369038,4
8563932256,9.09090614,12.2807026,10.6944265,1.48616552,5
8564932260,9.09090614,12.2807026,10.5391703,1.30901241,5
8565932264,9.09090614,11.5044231,10.5024157,1.20436144,4
8566932268,9.09090614,11.5044231,10.5476379,0.883292317,5
8567932272,9.09090614,12.2807026,10.8609209,1.18383169,5
8568932280,9.09090614,11.5044231,10.5447893,1.04730237,5
