pressureTimestamp,pressure,temperatureTimestamp,temperature
8433686880,86279.4453,8433686880,41.4900017
8433706868,86286.0156,8433706868,41.4799995
8433727676,86280.5156,8433727676,41.4900017
8433746872,86277.1953,8433746872,41.4900017
8433766872,86274.7578,8433766872,41.4900017
8433786876,86283.2031,8433786876,41.4900017
8433806864,86280.5156,8433806864,41.5
8433826868,86283.3984,8433826868,41.4900017
8433846872,86275.5625,8433846872,41.4799995
8433866868,86282.3984,8433866868,41.4900017
8433886872,86278.6406,8433886872,41.4900017
8433906872,86280.0312,8433906872,41.4900017
8433927676,86276.7109,8433927676,41.4900017
8433946876,86276.1953,8433946876,41.4900017
8433966868,86281.9609,8433966868,41.4900017
8433986876,86280.4453,8433986876,41.4900017
8434006868,86281.8359,8434006868,41.4900017
8434026876,86279.6406,8434026876,41.4900017
8434046872,86282.1562,8434046872,41.4900017
8434066868,86273.9531,8434066868,41.4900017
8434086872,86278.8828,8434086872,41.4900017
8434106868,86276.8359,8434106868,41.4900017
8434127676,86274.9531,8434127676,41.4900017
8434146872,86280.5156,8434146872,41.4900017
8434166876,86275.8828,8434166876,41.4900017
8434186876,86276.1953,8434186876,41.4900017
8434206868,86274.7578,8434206868,41.4900017
8434226876,86270.5547,8434226876,41.4900017
8434246876,86274.8281,8434246876,41.4900017
8434266876,86278.4453,8434266876,41.4900017
8434286872,86278.4453,8434286872,41.4900017
8434306868,86276.1484,8434306868,41.4900017
8434327680,86277.8359,8434327680,41.4900017
8434346872,86275.7578,8434346872,41.4900017
8434366868,86275.8828,8434366868,41.4900017
8434386880,86282.6406,8434386880,41.5
8434406876,86275,8434406876,41.5
8434426880,86282.6406,8434426880,41.4900017
8434446880,86277.8828,8434446880,41.4900017
8434466872,86273.5156,8434466872,41.4900017
8434486880,86285.5703,8434486880,41.5
8434506872,86272.8281,8434506872,41.4900017
8434527680,86275.4375,8434527680,41.5
8434546880,86280.7656,8434546880,41.4900017
8434566868,86272,8434566868,41.5
8434586876,86275.3203,8434586876,41.4900017
8434606868,86290.6016,8434606868,41.4900017
8434626876,86279.5156,8434626876,41.4900017
8434646872,86279.1484,8434646872,41.4900017
8434666872,86278.5156,8434666872,41.4900017
8434686872,86274.4375,8434686872,41.5
8434706872,86282.8359,8434706872,41.5
8434727680,86271.0703,8434727680,41.4900017
8434746876,86278.6406,8434746876,41.5
8434766876,86279.5938,8434766876,41.4900017
8434786884,86283.3281,8434786884,41.5
8434806872,86271.6797,8434806872,41.5
8434826880,86277.25,8434826880,41.5
8434846876,86276.6406,8434846876,41.5
8434866872,86271.8047,8434866872,41.5
8434886876,86282.8359,8434886876,41.4900017
8434906868,86278.8828,8434906868,41.5
8434927680,86284.3281,8434927680,41.4900017
8434946884,86278.6875,8434946884,41.5
8434966876,86279.8828,8434966876,41.5
8434986880,86277.3672,8434986880,41.5
8435006872,86277.5859,8435006872,41.4900017
8435026880,86280.2031,8435026880,41.5
8435046880,86273.6328,8435046880,41.5
8435066876,86272.1953,8435066876,41.4900017
8435086880,86275.0781,8435086880,41.5
8435106876,86272.8281,8435106876,41.5
8435127684,86275.7109,8435127684,41.4900017
8435146880,86285.3984,8435146880,41.5
