timestamp,threadId,minimumStack
1946726,0,14148
8434405,1,14684
8434521,4,16204
8434320,5,16284
8434320,6,16284
8434536,7,16180
8432675,8,16180
1946726,0,14148
8435405,1,14684
8435521,4,16204
8435004,5,16268
8435076,6,15580
8435386,7,16180
8434675,8,16180
1946726,0,14148
8436405,1,14684
8436521,4,16204
8436404,5,16268
8436464,6,15580
8436444,7,16180
8434675,8,16180
1946726,0,14148
8437405,1,14684
8437521,4,16204
8437104,5,16268
8437164,6,15580
8437506,7,16180
8436675,8,16180
1946726,0,14148
8438405,1,14684
8438521,4,16204
8438504,5,16268
8438566,6,15580
8438353,7,16180
8436675,8,16180
1946726,0,14148
8439405,1,14684
8439521,4,16204
8439203,5,16228
8439262,6,15580
8439415,7,16180
8438675,8,16180
1946726,0,14148
8440405,1,14684
8440521,4,16204
8439893,5,16228
8439989,6,15580
8440474,7,16180
8438675,8,16180
1946726,0,14148
8441405,1,14684
8441521,4,16204
8441284,5,16228
8441346,6,15580
8441534,7,16180
8440675,8,16180
1946726,0,14148
8442405,1,14684
8442521,4,16204
8441984,5,16228
8442046,6,15580
8442381,7,16180
8440675,8,16180
1946726,0,14148
8443405,1,14684
8443521,4,16204
8443384,5,16228
8443444,6,15580
8443440,7,16180
8442675,8,16180
1946726,0,14148
8444405,1,14684
8444521,4,16204
8444084,5,16228
8444146,6,15580
8444502,7,16180
8442675,8,16180
1946726,0,14148
8445405,1,14684
8445521,4,16204
8445483,5,16228
8445546,6,15580
8445562,7,16180
8444675,8,16180
1946726,0,14148
8446405,1,14684
8446521,4,16204
8446173,5,16228
8446233,6,15580
8446412,7,16180
8444675,8,16180
1946726,0,14148
8447405,1,14684
8447521,4,16204
8447565,5,16228
8446924,6,15580
8447472,7,16180
8446675,8,16180
1946726,0,14148
8448405,1,14684
8448521,4,16204
8448264,5,16228
8448360,6,15580
8448533,7,16180
8446675,8,16180
1946726,0,14148
8449405,1,14684
8449521,4,16204
8448965,5,16228
8449024,6,15580
