pressureTimestamp,pressure
 8433687908,88380.4609,
8433696936,88381.3203,
8433707840,88396.4922,
8433716940,88386.9141,
8433728792,88380.2734,
8433736940,88388.2109,
8433747844,88376.2656,
8433756932,88377.9531,
8433767968,88390.7188,
8433776936,88384.7891,
8433787908,88381.0234,
8433796932,88395.9062,
8433807828,88387.9453,
8433816940,88385.8672,
8433827892,88380.2266,
8433836936,88386.25,
8433847896,88374.2188,
8433856932,88396.8359,
8433867956,88386.7891,
8433876932,88384.7266,
8433887896,88397.4219,
8433896932,88385.6016,
8433907840,88378.3516,
8433916940,88391.7656,
8433928788,88379.1328,
8433936940,88381.1172,
8433947848,88388.3672,
8433956932,88378.5391,
8433967964,88373.1406,
8433976936,88394.3906,
8433987904,88385.6797,
8433996932,88383.2812,
8434007892,88398.2578,
8434016940,88386.9141,
8434027840,88379.8516,
8434036940,88390.7812,
8434047896,88381.5078,
8434056932,88382.2344,
8434067956,88397.9219,
8434076932,88387.4766,
8434087892,88381.1172,
8434096932,88397.0391,
8434107892,88386.375,
8434116944,88386.3281,
8434128736,88395.0781,
8434136940,88383.2656,
8434147840,88376.5625,
8434156932,88394.1484,
8434167968,88385.9297,
8434176932,88385.7578,
8434187908,88395.3672,
8434196932,88385.4453,
8434207892,88379.2031,
8434216944,88397.6094,
8434227840,88385.0469,
8434236940,88380.5078,
8434247904,88391.2578,
8434256932,88381.5156,
8434267964,88374.4922,
8434276940,88384.625,
8434287896,88382.6328,
8434296932,88371.2109,
8434307892,88360.6641,
8434316944,88359.5078,
8434328740,88367.9062,
8434336940,88356.5391,
8434347840,88356.6016,
8434356936,88366.7734,
8434367960,88357.1953,
8434376940,88356.7969,
8434387908,88388.125,
8434396936,88379.2891,
8434407912,88381.1172,
8434416944,88389.9453,
8434427904,88378.2969,
8434436944,88379.3594,
8434447852,88387.4219,
8434456932,88376.9141,
8434467960,88377.4375,
8434476940,88394.1094,
8434487900,88384.0938,
8434496936,88385.6797,
8434507892,88400.2188,
8434516944,88388.8125,
8434528732,88387.8203,
8434536940,88386.3281,
8434547848,88372.7109,
8434556936,88376.0703,
8434567960,88389.3359,
8434576936,88379.0234,
8434587900,88388.1797,
8434596936,88397.5,
8434607892,88386.0078,
8434616944,88386.8516,
8434627900,88393.8203,
8434636940,88381.8594,
8434647900,88385.4766,
8434656932,88395.5312,
8434667904,88386.2891,
8434676936,88387.2812,
8434687900,88398.4922,
8434696936,88386.6641,
8434707892,88386.9453,
8434716944,88398.6484,
8434728732,88386.4062,
8434736944,88383.5547,
8434747904,88388.375,
8434756940,88377.6094,
8434767908,88378.8672,
8434776940,88394.9297,
8434787908,88387.3359,
8434796936,88381.9766,
8434807892,88395.9922,
8434816944,88386.5,
8434827904,88386.3594,
8434836940,88395.5,
8434847900,88385.6953,
8434856936,88384.2812,
8434867964,88397.7969,
8434876936,88387.7578,
8434887844,88373.8906,
8434896936,88370.4531,
8434907896,88359.0547,
8434916944,88358.7422,
8434928732,88359.2812,
8434936944,88345.4453,
8434947912,88351.2266,
8434956936,88362.0703,
8434967968,88351.7656,
8434976944,88351.3125,
8434987848,88394.875,
8434996936,88379.7812,
8435007900,88380.3906,
8435016948,88399.8906,
8435027904,88385.8047,
8435036944,88381.4766,
8435047908,88395.8516,
8435056936,88386.2344,
8435067964,88385.7578,
8435076940,88396.25,
8435087852,88383.3125,
8435096936,88380.75,
8435107896,88393.2344,
8435116948,88382.9688,
8435128740,88382.3828,
8435136940,88384.3906,
8435147900,88379.8906,
8435156936,88383.7656,
8435167964,88395.9766,
8435176940,88385.0078,
8435187908,88386.7344,
8435196940,88395.5938,
8435207840,88385.2031,
8435216948,88386.8203,
8435227900,88395.8672,
8435236944,88379.8516,
8435247908,88376.9531,
8435256940,88391.4922,
8435267964,88381,
8435276944,88380.6953,
8435287904,88398.5,
8435296940,88388.4531,
8435307836,88386.9766,
8435316948,88398.6562,
8435328792,88385.0938,
8435336944,88383.2656,
8435347848,88393.7578,
8435356940,88384.375,
8435367964,88383.6172,
8435376940,88396.5312,
8435387904,88387.6641,
8435396940,88386.0625,
8435407840,88385.625,
8435416948,88385.3125,
8435427900,88384.6328,
8435436948,88393.6016,
8435447908,88380.9688,
8435456940,88380.2656,
8435467972,88392.2812,
8435476944,88381.9062,
8435487908,88368.6484,
8435496940,88367.3984,
8435507896,88358.2656,
8435516948,88358.4688,
8435528736,88366.7734,
8435536944,88352.9219,
8435547848,88348.5391,
8435556940,88367.8203,
8435567960,88354.3984,
8435576940,88355.1641,
8435587900,88395,
8435596940,88383.8516,
8435607904,88382.7344,
8435616952,88397.7656,
8435627848,88385.6016,
8435636944,88383.8828,
8435647904,88396.3906,
8435656940,88385.6641,
8435667968,88383.9219,
8435676944,88398.4688,
8435687912,88387.0859,
8435696940,88386.9453,
8435707904,88397.6875,
8435716952,88386.9688,
8435728736,88386.2656,
8435736948,88389.9453,
8435747856,88377.8516,
8435756940,88379.5156,
8435767972,88388.8594,
8435776948,88379.2891,
8435787924,88381.6953,
8435796944,88387.7578,
8435807904,88375.5234,
8435816956,88379.0703,
8435827916,88389.9062,
8435836948,88380.3359,
8435847848,88377.6797,
8435856944,88396.2891,
8435867972,88387.2188,
8435876940,88387.0859,
8435887904,88397.9609,
8435896940,88386.7891,
8435907900,88375.2656,
8435916952,88397.8594,
8435928740,88386.6328,
8435936948,88373.8203,
8435947864,88388.0234,
8435956940,88376.0781,
8435967972,88373.4844,
8435976944,88391.4453,
8435987908,88386.3281,
8435996940,88387.375,
8436007900,88396.4609,
8436016948,88388.5938,
8436027916,88384.7891,
8436036948,88388.9141,
8436047860,88381.5156,
8436056944,88383.6953,
8436067968,88396.5312,
8436076940,88385.8359,
8436087908,88369.4531,
8436096944,88363.5859,
8436107900,88357.8203,
8436116952,88358.1641,
8436128744,88364.0391,
8436136948,88353.2578,
8436147904,88350.7578,
8436156944,88367.9297,
8436167904,88356.1406,
8436176944,88348.3984,
8436187908,88389.9688,
8436196944,88378.7969,
8436207900,88381.3047,
8436216952,88398.3203,
8436227904,88385.8516,
8436236952,88383.8516,
8436247916,88387.9375,
8436256944,88378.2656,
8436267912,88377.5625,
8436276948,88394.7891,
8436287912,88386.6016,
8436296944,88387.4766,
8436307904,88393.6484,
8436316952,88383.3438,
8436328744,88385.3516,
8436336948,88393.4453,
8436347904,88381.4609,
8436356944,88384.3125,
8436367912,88395.3125,
8436376944,88384.1328,
8436387912,88381.3906,
8436396944,88396.2109,
8436407900,88384.625,
8436416952,88384.7109,
8436427904,88394.2188,
8436436952,88382.7656,
8436447916,88376.0234,
8436456944,88392.6328,
8436467972,88381.5469,
8436476948,88380.3906,
8436487884,88390.5547,
8436496948,88380.6406,
8436507908,88377.2812,
8436516956,88393.0547,
8436528860,88381.2422,
8436536948,88374.7656,
8436547916,88389.1016,
8436556944,88383.1953,
8436567968,88380.6641,
8436576944,88396.0312,
8436587848,88386.2891,
8436596944,88384.8672,
8436607900,88395.0625,
8436616956,88386.3203,
8436627908,88381.0938,
8436636952,88393.4609,
8436647908,88383.6484,
