Heights,Vz_closed_m26,Vz_closed_m26_4,Vz_closed_m26_8,Vz_closed_m27_2,Vz_closed_m27_6,Vz_closed_m28,Vz_closed_m28_4,Vz_closed_m28_8,Vz_closed_m29_2,Vz_closed_m29_6,Vz_closed_m30,Vz_open_m26,Vz_open_m26_4,Vz_open_m26_8,Vz_open_m27_2,Vz_open_m27_6,Vz_open_m28,Vz_open_m28_4,Vz_open_m28_8,Vz_open_m29_2,Vz_open_m29_6,Vz_open_m30
0,291.697688278318,290.829077875845,289.990532647539,289.182107830101,288.400431198465,287.645068077735,286.914805317672,286.207536847051,285.523113265711,284.860132271709,284.217060865029,521.120565192786,516.075462318736,510.438944020476,505.673314279408,501.011831601148,495.893395461229,491.462437549768,486.660814948149,482.432419304485,478.278547728422,473.862370607181
10,290.984535447996,290.122172054902,289.290629334632,288.487638116439,287.711921016228,286.962205130311,286.236902974706,285.535077414886,284.855479592315,284.196954575389,283.558695560262,518.991801421389,513.951767963176,508.336075559748,503.571309337535,498.910275275413,493.810993067849,489.379712617304,484.596148511444,480.366734302352,476.211500029465,471.812107673286
20,290.272554676878,289.417015425694,288.591524150995,287.794369522951,287.024564629671,286.280179676493,285.560162939834,284.863437411843,284.188599955009,283.534777036889,282.901066213715,516.856699928473,511.816892070643,506.224157422375,501.462198249855,496.80313301355,491.723623806074,487.292182881464,482.52584171389,478.294316452994,474.136178146084,469.75170401644
30,289.561766863639,288.712681652409,287.893139205481,287.102211933116,286.337866313319,285.598860517744,284.884210042744,284.192348384917,283.522319891926,282.873243011805,282.2438920452,514.721598435556,509.681943626028,504.109073957462,499.346984013761,494.687649597284,489.627258378458,485.195308275166,480.447515471832,476.215266067988,472.056290888838,467.689754885253
40,288.852030395801,288.009090411237,287.195935188177,286.410695187298,285.65181294685,284.918429532041,284.208788843333,283.521838698171,282.856738052227,282.212144989553,281.5871507165,512.572518503631,507.538901983707,501.990078128675,497.231073804537,492.572166181019,487.530892950843,483.098433668869,478.369038909708,474.134094650682,469.971428207939,465.618663319797
50,288.143059351263,287.306575566213,286.499447145895,285.719817704691,284.966768428709,284.238547504384,283.533915417412,282.852094250836,282.191606926307,281.551479416948,280.931064826739,510.418971229153,505.385455032326,499.856819982617,495.097632729956,490.439757552511,485.418249444041,480.985124362365,476.273006098312,472.037285712667,467.873729866974,463.539204598359
60,287.435031702346,286.604955600667,285.80361876589,285.029943027159,284.282290678797,283.559211689187,282.859888206836,282.182815728898,281.526922993916,280.891503985271,280.275356468001,508.26164242241,503.232008080945,497.723561836559,492.964191655374,488.305994721969,483.303921136716,478.870234647171,474.176973286915,469.940476774652,465.776031526009,461.456156906346
70,286.728110939376,285.904016310454,285.108716919421,284.340728032277,283.598377146192,282.880732817141,282.186342646755,281.513999670143,280.862927897498,280.231924382733,279.62002174664,506.089240058818,501.061378463031,495.576998381722,490.820229779375,486.163323016975,481.180740058117,476.745950078586,472.06956262566,467.829882625219,463.661251221006,459.358814578742
80,286.021892458837,285.203904889002,284.414616111409,283.65209586107,282.915280133241,282.202794897937,281.513275361756,280.845863306509,280.199370408337,279.572731784548,278.965182967075,503.916837695226,498.889022744504,493.425166355719,488.668161661023,484.010879516332,479.04805822962,474.612653518557,469.95544171111,465.714932467905,461.545357958572,457.261472251139
90,285.316377182964,284.504762210305,283.72111733734,282.964224486183,282.232818502879,281.525351622756,280.840869547869,280.178216402721,279.53621377455,278.914036336609,278.310782098687,501.731504222196,496.708796715245,491.268700955086,486.513850709671,481.857405085496,476.913799276504,472.476838243683,467.836248290991,463.592104004629,459.417885897606,455.147626991193
100,284.612028614926,283.806241375245,283.028305908279,282.277101384937,281.550868454993,280.848541071326,280.169016519694,279.510984706648,278.873549246532,278.255813506923,277.656712203669,499.539825001482,494.517109465635,489.0978837954,484.342743242901,479.685867513483,474.762361567924,470.324731338337,465.703646383332,461.458618557657,457.283402422459,453.032015978972
110,283.908322286167,283.108339356948,282.336376766393,281.590507383385,280.869510195808,280.172359709641,279.49759356929,278.844232814604,278.211400254819,277.597934213897,277.00297036531,497.344824136831,492.325422216025,486.927066635715,482.171635776131,477.51432994147,472.610923859345,468.172624432992,463.571044475673,459.322957317805,455.142624434551,450.904644445322
120,283.205255534554,282.411426891841,281.644994825122,280.904450122347,280.188872452093,279.496623828556,278.826629706472,278.178048720745,277.54960782467,276.940393608758,276.349727053556,495.133433312379,490.115298470141,484.740754672874,479.986959956721,475.329965091921,470.445848776917,466.005468776384,461.420599655275,457.170530643401,452.989143536112,448.770368161546
130,282.50308711451,281.715105784861,280.95415627984,280.219221744867,279.50869613773,278.821328872096,278.156296544326,277.512234691857,276.888167092974,276.28336107756,275.696773837399,492.922042487927,487.903843901604,482.550528573838,477.796388238276,473.138907400239,468.275240632425,463.834135778838,459.269112047477,455.018103968997,450.834414906302,446.628828002124
140,281.801667911645,281.019347001664,280.264118377312,279.534471301906,278.828976782997,278.146715039818,277.486347445279,276.846785866913,276.22723524485,275.626643954136,275.044105740489,490.696668629275,485.682577838891,480.352778261895,475.599793412978,470.942135968601,466.097495740579,461.65382405153,457.105272345394,452.849622088485,448.661516964976,444.475477882792
150,281.1008305958,280.324320518395,279.574653525184,278.850194443121,278.149911832688,277.472512081307,276.8167775692,276.181840948142,275.566652746908,274.970223737409,274.391774243689,488.46511793058,483.450906592059,478.142706343131,473.389319415815,468.731118934247,463.907289903251,459.462836461792,454.93448202887,450.677835894419,446.48861902365,442.319095057522
160,280.400637653825,279.629993971235,278.885679483621,278.166533743119,277.47133057719,276.798702896296,276.147699848122,275.517287020983,274.906379396659,274.314141418251,273.739797150309,486.228493346599,481.217891298104,475.932634424368,471.178845418652,466.520101899893,461.716234446234,457.268710736369,452.756591610395,448.494801852423,444.299413213795,440.146250068972
170,279.701294671578,278.936176071407,278.197269942942,277.483443750756,276.793158194143,276.125366203722,275.479063571649,274.853054954324,274.246440631504,273.658443168417,273.088065832102,483.976320405152,478.965539865484,473.702542206166,468.949353115059,464.289869645841,459.505990427636,455.057626768234,450.566068765502,446.303224979792,442.106665685941,437.97340508042
180,279.002478787265,278.242861849887,277.509534392015,276.800778293557,276.11542941738,275.452531494382,274.810762358349,274.189148746781,273.586921896077,273.003001790553,272.436574703862,481.724147463705,476.713188432863,471.472173962392,466.718525135607,462.05844031572,457.295746409038,452.846542800098,448.373438683061,444.104932186964,439.901675280017,435.781543214765
190,278.304185227024,277.550330696212,276.822239615796,276.118531957525,275.438274708529,274.780045558337,274.14279057589,273.525705734919,272.927671562415,272.347811650729,271.785394728316,479.454551687215,474.446625985688,469.228932180325,464.475366110723,459.814016802862,455.070214214563,450.617359442783,446.162740143029,441.893120071231,437.688632156,433.588769335547
200,277.606610031429,276.858263577897,276.135380289327,275.436914717286,274.761483007308,274.107902768587,273.47529612968,272.862543105237,272.268683957444,271.69293681138,271.134468161814,477.181279431688,472.173116104199,466.977802902002,462.223718186821,457.561707908902,452.839477736434,448.385723462656,443.952041602997,439.678826185846,435.467096158021,431.380166966152
210,276.909620330855,276.166648858561,275.449113629437,274.755690398112,274.085048710897,273.436225799665,272.808113150259,272.199655156462,271.610012172191,271.038339781219,270.483743941939,474.898664539356,469.892997363922,464.72072358017,459.966185642958,455.302367289329,450.598784057996,446.140837174581,441.723315153173,437.446320289432,433.233297391626,429.167016641793
220,276.213100610647,275.475577471328,274.763323659928,274.074838303812,273.409061175978,272.764909414153,272.141217284644,271.537079223044,270.951647780515,270.383955506719,269.83321602705,472.603800558107,467.597835374581,462.448353743114,457.693236940578,453.028696632207,448.347086464256,443.888179110438,439.491983839771,435.213814393017,430.994416183029,426.940879549478
