Time,Z,Vz
0,3160,-0
0.01,3158.39460028525,-0.0989697717928381
0.02,3158.39361058753,-0.196854325080943
0.02,3160,-0
0.03,3158.3935184551,-0.0984671612152069
0.04,3158.39253378348,-0.196567176861971
0.04,3160,-0
0.05,3158.39378801946,-0.0978926742040512
0.06,3155.19591266106,-0.203840185100293
0.06,3155.19591266106,-0.203840185100293
0.07,3150.4218421567,-0.326159469819238
0.08,3144.08629240636,-0.472135369756085
0.08,3144.08629240636,-0.472135369756085
0.09,3136.20645986177,-0.649219232885418
0.1,3126.82462393982,-0.864437287844598
0.1,3126.82462393982,-0.864437287844598
0.11,3115.9652414426,-1.12600813294447
0.12,3103.68303561799,-1.43987869755869
0.12,3103.68303561799,-1.43987869755869
0.13,3090.00349603366,-1.81291559061787
0.14,3074.98705391324,-2.25110213471967
0.14,3074.98705391324,-2.25110213471967
0.15,3058.68494532241,-2.75929208153468
0.16,3041.14927908291,-3.34317895260275
0.16,3041.14927908291,-3.34317895260275
0.17,3022.44308598762,-4.00689809681203
0.18,3002.6280446292,-4.75468438334485
0.18,3002.6280446292,-4.75468438334485
0.19,2981.77718547731,-5.59000138011773
0.2,2959.91664055654,-6.51771168991524
0.2,2959.91664055654,-6.51771168991524
0.21,2937.15881762348,-7.53857089631897
0.22,2913.54032619614,-8.65490958448905
0.22,2913.54032619614,-8.65490958448905
0.23,2889.16883767725,-9.86669270836191
0.24,2864.07382643823,-11.1775101073213
0.24,2864.07382643823,-11.1775101073213
0.25,2838.33085576818,-12.5866635367074
0.26,2811.99365350023,-14.0954224163118
0.26,2811.99365350023,-14.0954224163118
0.27,2785.14264783204,-15.7022812731428
0.28,2757.85461073597,-17.4058304690125
0.28,2757.85461073597,-17.4058304690125
0.29,2730.18321802666,-19.2050602180608
0.3,2702.18077022735,-21.0997066575681
0.3,2702.18077022735,-21.0997066575681
0.31,2673.93247386199,-23.0860866152401
0.32,2645.41067535059,-25.1664487099317
0.32,2645.41067535059,-25.1664487099317
0.33,2616.72344812816,-27.3356848020691
0.34,2587.92042764155,-29.5912842130526
0.34,2587.92042764155,-29.5912842130526
0.35,2559.10827285188,-31.9254932114482
0.36,2530.25576294852,-34.3408681355907
0.36,2530.25576294852,-34.3408681355907
0.37,2501.38805483121,-36.8359123704575
0.38,2472.67002134718,-39.3969106666454
0.38,2472.67002134718,-39.3969106666454
0.39,2444.08010392583,-42.0249733159655
0.4,2415.59037520294,-44.722184946236
0.4,2415.59037520294,-44.722184946236
0.41,2387.30404760642,-47.4786145784533
0.42,2359.17622752835,-50.2977924163792
0.42,2359.17622752835,-50.2977924163792
0.43,2331.30561175187,-53.1683458394844
0.44,2303.63612768393,-56.0954601099676
0.44,2303.63612768393,-56.0954601099676
0.45,2276.2822207221,-59.0652804457264
0.46,2249.26094151573,-62.0745958064923
0.46,2249.26094151573,-62.0745958064923
0.47,2222.54245586186,-65.1248978471382
0.48,2196.18123775727,-68.2081933632797
0.48,2196.18123775727,-68.2081933632797
0.49,2170.1131924325,-71.3296846921156
0.5,2144.45373055859,-74.4744028116703
0.5,2144.45373055859,-74.4744028116703
0.51,2119.22393051066,-77.6367730205242
0.52,2094.37280439636,-80.8213292921875
0.52,2094.37280439636,-80.8213292921875
0.53,2069.88470742213,-84.0276067495053
0.54,2045.77883750294,-87.2510768098372
0.54,2045.77883750294,-87.2510768098372
0.55,2022.08467020126,-90.4850979882143
0.56,1998.84874872451,-93.7201215851997
0.56,1998.84874872451,-93.7201215851997
0.57,1976.02561633528,-96.9605256065336
0.58,1953.59955098767,-100.205708145541
0.58,1953.59955098767,-100.205708145541
0.59,1931.62273731928,-103.445868637546
0.6,1910.05612316774,-106.684029879413
0.6,1910.05612316774,-106.684029879413
0.61,1888.9647560869,-109.90743389114
0.62,1868.29800222228,-113.120927409821
0.62,1868.29800222228,-113.120927409821
0.63,1848.09771819556,-116.315350295543
0.64,1828.27708853065,-119.50188544153
