Heights,Vz_closed_m26,Vz_closed_m26_4,Vz_closed_m26_8,Vz_closed_m27_2,Vz_closed_m27_6,Vz_closed_m28,Vz_closed_m28_4,Vz_closed_m28_8,Vz_closed_m29_2,Vz_closed_m29_6,Vz_closed_m30,Vz_open_m26,Vz_open_m26_4,Vz_open_m26_8,Vz_open_m27_2,Vz_open_m27_6,Vz_open_m28,Vz_open_m28_4,Vz_open_m28_8,Vz_open_m29_2,Vz_open_m29_6,Vz_open_m30
0,288.586220863909,287.780740824828,287.00408233524,286.253658863337,285.527984427756,284.827114474373,284.148465770862,283.491180541497,282.855203532413,282.238455642096,281.640096875438,509.609642386787,503.975772807347,498.929569325598,493.990203474662,488.883143431683,484.180912315729,479.565288278894,474.898090580001,470.478637061219,466.080312902626,461.833463566499
10,287.898662098882,287.099541339876,286.328149014437,285.582935039404,284.862954444093,284.166568782725,283.492625698079,282.840342643516,282.208381468704,281.595813992799,281.001963945753,507.424921668861,501.812982216719,496.767585793179,491.828580812489,486.741683128799,482.038991196189,477.422507290328,472.773971148122,468.352942856281,463.972279403399,459.723202317093
20,287.212395921,286.41908946379,285.65311322416,284.913421192935,284.198434081014,283.506836151554,282.837793755301,282.189939219625,281.562260246201,280.954020909773,280.364167423016,505.235417304708,499.648909039252,494.605602260761,489.666958150315,484.600222825916,479.89707007665,475.27972630176,470.649851716243,466.227248651343,461.860689190693,457.606208846732
30,286.526978529206,285.739236554864,284.978883891646,284.244429755096,283.534379190503,282.847805507095,282.183356292178,281.539909875864,280.916672163221,280.312568974875,279.726675443838,503.034943027185,497.469497512945,492.428324061154,487.492085629004,482.445968230076,477.742659780456,473.123872331406,468.510637214189,464.08455458387,459.736625045488,455.480874916992
40,285.842150970128,285.060124595885,284.30528213538,283.575920557809,282.871004566204,282.189216430438,281.529307088714,280.890414318836,280.271454378861,279.671423260388,279.089546868063,500.834468749662,495.290085986638,490.24854191121,485.311790586231,480.285962312296,475.581900682406,470.962234167831,466.368600777981,461.941433639007,457.612560900283,453.352371830849
50,285.157978573907,284.381766229303,283.632179971166,282.908058195823,282.208140636193,281.531030314633,280.875785584211,280.241325927553,279.62655520568,279.030647878121,278.452787053187,498.618113944878,493.098968284044,488.060797780013,483.125968992531,478.120421022773,473.415652735453,468.794049666586,464.216840488524,459.785583175471,455.470940138654,451.207945562964
60,284.474709801636,283.703925394633,282.959677545797,282.240790148512,281.545694905459,280.873357919538,280.222716960318,279.592569002512,278.982028811925,278.39026587633,277.816282874054,496.397486103931,490.899770246193,485.861170501566,480.925769673459,475.940869157335,471.235288880217,466.612747299131,462.055489576499,457.623088497731,453.327842786572,449.063519295079
70,283.791977088241,283.026621261631,282.287869708741,281.573956089711,280.883739688069,280.21619426805,279.569993139493,278.944182020757,278.337926636347,277.750150735117,277.1800297809,494.170674755293,488.697878078471,483.66154322312,478.725570354388,473.761317291897,469.054925024982,464.431444931675,459.890398594259,455.453396434549,451.172152293238,446.9013447681
80,283.109777487519,282.350131142252,281.61651221103,280.907578555961,280.222360721676,279.559389255006,278.917630215084,278.29625722825,277.69410297214,277.110297864687,276.544140860887,491.929431719142,486.478444794809,481.442232592133,476.507616943574,471.563729544789,466.856065888781,462.230076354941,457.709303627173,453.271097056847,449.009602185334,444.737405190377
90,282.428377291984,281.674108281652,280.945601222693,280.241858148516,279.561354743356,278.90293848416,278.265775634798,277.648623041153,277.050553200879,276.470819202959,275.908490738777,489.68818868299,484.259011511146,479.222310257273,474.287062173495,469.364192920549,464.655657167792,460.028668328011,455.528208660086,451.086882853213,446.839164065304,442.559955866309
100,281.747539886017,280.998549020551,280.275370483399,279.5765256071,278.900717406349,278.247032250294,277.614224214255,277.001274825396,276.40738429282,275.831598272272,275.273054387045,487.429238962561,482.025055141761,476.990654288684,472.056238831795,467.153463101622,462.443131906913,457.813101825328,453.328937568448,448.884334465912,444.65672878177,440.376069073982
110,281.0671837871,280.323627224707,279.605579582445,278.911576660289,278.240612420036,277.591451883339,276.962971318581,276.354310064864,275.764497027546,275.192601626747,274.637852681207,485.166904498255,479.784923819499,474.749972854998,469.814863263518,464.933489252283,460.222224497445,455.591132908247,451.127655686155,446.681786078611,442.470831109738,438.182614454664
120,280.387407229044,279.649239567826,278.936187799496,278.247139218565,277.58088607792,276.936183088644,276.312099618675,275.707656621825,275.121844979293,274.55384530893,274.002929286486,482.895793612453,477.538500272555,472.505314347552,467.570493579715,462.708942346392,457.995339187898,453.360655399618,448.91323834398,444.461627332535,440.268064819802,435.978333066578
130,279.7082773894,278.975267136016,278.267276492646,277.583144220135,276.921484867578,276.281287465598,275.661575574432,275.061249762864,274.479435807885,273.915388848052,273.368183753301,480.611876252549,475.277193456517,470.243395051334,465.307817083727,460.468064568518,455.753464967995,451.117655998362,446.691312843572,442.238371718364,438.065298529867,433.768105887545
140,279.029579475799,278.301732197976,277.598884142771,276.919488442538,276.26244198327,275.626783533943,275.011309934754,274.415084556813,273.837352673885,273.277120141851,272.733610819396,478.327931291277,473.015886640479,467.981475755117,463.045140587739,458.227186790643,453.511489488359,448.871517365548,444.461002684007,440.001751154888,435.842402615551,431.542968474128
150,278.351308766089,277.628807399283,276.93084564843,276.256168100405,275.603843711784,274.972550298925,274.361297360169,273.769276939266,273.195467586158,272.63903387341,272.099247551064,476.021923665972,470.734655098985,465.701390357793,460.764715672941,455.966726926599,451.248165420381,446.607002902887,442.217962428053,437.757315593765,433.618845508887,429.315162609588
160,277.673662898279,276.956251650619,276.263155868095,275.593355544474,274.945528918423,274.318582408503,273.71164584036,273.123678075466,272.553775180759,272.001164817296,271.465072712681,473.715916040667,468.451680035135,463.417739074453,458.480242694573,453.704463666441,448.984841352402,444.342488440225,439.970974423504,435.503427587659,431.378481911032,427.06869309028
170,276.996448550162,276.284059889011,275.595957609402,274.930839754766,274.287492253421,273.664973748123,273.062231364925,272.478282563137,271.912305222802,271.363501749061,270.83103579488,471.395812860548,466.156091092762,461.122719025851,456.184296859917,451.428231460639,446.705058831092,442.057884100222,437.706333216476,433.237324229471,429.133659598837,424.822223570972
180,276.319614064233,275.612330822008,274.929115559082,274.268615400963,273.629807561373,273.011637110526,272.413031353518,271.833111869879,271.271062512958,270.725985863209,270.197131110021,469.067190993009,463.850939056993,458.816825595374,453.87751574135,449.144085667753,444.419786311826,439.771354362209,435.441692009448,430.965321528772,426.874987056025,422.554168323409
190,275.64320194565,274.941031042795,274.262578794894,273.606729280416,272.97243720167,272.358526512,271.764055030573,271.188194026388,270.629976635532,270.0886114093,269.563392853333,466.732253399234,461.540228589503,456.506085128147,451.565241287759,446.851277504192,442.122821379063,437.468952252468,433.155097575502,428.677046732013,424.608409939813,420.285875331563
200,274.967306359065,274.270050960442,273.596358825189,272.945208312638,272.315304937694,271.705636053157,271.115362233558,270.543443071301,269.989041783055,269.451412060102,268.929778362501,464.380475961633,459.212374179385,454.177422643295,449.235623552527,444.544735949649,439.815085554211,435.15989069906,430.868353506296,426.38603801305,422.330544005007,417.997996134914
210,274.291745456724,273.59938474878,272.930564696845,272.283937997822,271.658404848606,271.053062066147,270.466846804976,269.89885314671,269.348289074355,268.814350998107,268.29626260467,462.028698524032,456.884519769267,451.848760158443,446.906005817294,442.234505520952,437.50006931669,432.838799015379,428.562868378813,424.075071647066,420.041706610993,415.707372348039
220,273.616513469937,272.929161250621,272.265034297782,271.622912406729,271.00181969933,270.400678192818,269.81850284404,269.254450288301,268.707692103998,268.177397333938,267.662839564953,459.654402651257,454.53463687772,449.498157497884,444.553168835269,439.905038077806,435.169338357346,430.506672052788,426.253503127138,421.764105281081,417.743717114874,413.398715774185
230,272.941696876582,272.2592427188,271.599761705541,270.962195019035,270.345458548877,269.748476675393,269.170348199783,268.610224108348,268.067211573453,267.540544984886,267.029530230747,457.278910178872,452.18353726472,447.146181552623,442.20016843275,437.57557063466,432.835355629595,428.165951632717,423.92819571807,419.42992360621,415.432097391687,411.085237207228
240,272.26725575315,271.58959563136,270.934784323438,270.301742590568,269.689291113532,269.096463410611,268.522395304705,267.966123805102,267.426841336539,266.903815623778,266.396295698718,454.887538834898,449.816316323471,444.777594023167,439.828689744162,435.223552711896,430.481079968165,425.810207844927,421.595673822288,417.095728314616,413.113005727921,408.754800294348
250,271.593100285433,270.92022328447,270.270121116701,269.641495727377,269.033311047808,268.444681832378,267.874578136411,267.322143173905,266.786602286521,266.267173262644,265.763121490062,452.487752895394,447.441410462969,442.401741918636,437.451742251337,432.870611595354,428.126804306735,423.448869297884,419.249563391382,414.740059746588,410.778064305182,406.417925553555
260,270.919224108868,270.251223943626,269.60567583636,268.981448055904,268.377589839484,267.793046262921,267.226890437508,266.678300425713,266.146464723144,265.630599327035,265.130001335033,450.078384691407,445.055935850786,440.014229065661,435.060656209248,430.49877406281,425.748777991176,421.068938634538,416.893331475197,412.382080169237,408.436840523143,404.064652831497
270,270.245723128346,269.582455420936,268.941442092373,268.321657848301,267.722029611709,267.141550398746,266.57934532844,266.034576432697,265.506404053248,264.994087476493,264.496939984352,447.653707006202,442.656643646992,437.61391897076,432.659177986784,428.121793027373,423.370389513974,418.685939264133,414.525385151548,410.003865885364,406.078019928259,401.703822326163
280,269.57250031796,268.913911323429,268.277459344966,267.662061685559,267.066619783803,266.490199278547,265.931939590842,265.390938184533,264.866413868941,264.357643958781,263.863912175847,445.225368885549,440.251949177349,435.206488601775,430.247466008194,425.729126105576,420.970828527581,416.281232181787,412.144871106741,407.621527836035,403.713579617361,399.326602628489
290,268.899515387136,268.245605618246,267.61371062969,267.002627096541,266.411353693425,265.839012143103,265.28462885112,264.747379209668,264.226500917526,263.721244382128,263.230907042583,442.775180399902,437.827670599998,432.781118665224,427.820853307689,423.327519596187,418.567739721121,413.875472682885,409.754000694777,405.219652429236,401.330303447683,396.941237737723
300,268.226761537411,267.577582045634,266.950135162119,266.343347377109,265.756280854825,265.187929679045,264.637406578427,264.103905369404,263.586644062941,263.084875053047,262.597918111934,440.324991914256,435.402736359387,430.352723613938,425.387440561636,420.912958528149,416.145552044849,411.445379236378,407.348612816941,402.812362025971,398.941504395982,394.538900782669
310,267.55432207993,266.909743915786,266.286726205178,265.684263578742,265.101322844966,264.536945301295,263.990275914121,263.460501976667,262.946825382797,262.448529426716,261.964937045243,437.850504267539,432.95285050882,427.901671024402,422.935068580579,418.486120782154,413.7171550926,409.015285789871,404.933671368707,400.385649997378,396.533176443231,392.128402974053
320,266.882093464359,266.242084469086,265.623511737382,265.025321323065,264.446472986432,263.886057079912,263.343232745932,262.817145057146,262.307038262534,261.812201207212,261.331949187293,435.374164165722,430.502964658252,425.450618434865,420.47882042872,416.048542394406,411.271188954579,406.559589028234,402.502797442722,397.952792742171,394.118815051323,389.69971569495
330,266.210056258542,265.574613044018,264.960471345017,264.366497750264,263.791724377611,263.235276678222,262.696244739712,262.173827929393,261.667277836696,261.175875170984,260.698947071046,432.877928543045,428.030463575801,422.973825663568,418.000042309461,413.595846490858,408.816854780701,404.103477908652,400.062575576641,395.500004734178,391.684818374949,387.263465591724
340,265.538203347714,264.907355096571,264.297560654919,263.707785907456,263.137101753975,262.584560535991,262.049305150436,261.530546199365,261.02752988425,260.53954194944,260.065924056816,430.374773204664,425.554327692776,420.49644565415,415.519760477688,411.134065497594,406.345894874402,401.621984435604,397.605581908303,393.040944538428,389.243625804332,384.807128195535
350,264.866593677256,264.240238380306,263.634772669723,263.049205800162,262.482555962933,261.933901848479,261.402408695455,260.887288940724,260.387782163065,259.903194830082,259.432867140206,427.855617011788,423.05870631475,417.995746995291,413.013906246374,408.654862350152,403.864972130676,399.139201951021,395.138803852625,390.560773285876,386.783321750174,382.344484588643
360,264.195146157195,263.57325586138,262.97211886957,262.390724102385,261.828077097049,261.283293590948,260.755550868297,260.244039690588,259.748027889656,259.266823235085,258.799758223526,425.324958904977,420.555654731011,415.491371788398,410.508052015059,406.167627378226,401.367735547331,396.630596803431,392.655034242617,388.07485143771,384.313959783222,379.859126319206
370,263.523844867759,262.906405848496,262.309589958476,261.732319253666,261.173658069406,260.632738854333,260.108709205376,259.60079159662,259.108258617005,258.630407444013,258.166598760492,422.781642058782,418.03568650418,412.965509084082,407.974700144991,403.661244667588,398.859549539183,394.120465798301,390.160353579624,385.565917412691,381.826686943567,377.369425120258
380,262.852682461092,262.239713041495,261.647148295271,261.073984109323,260.519302651202,259.982209804136,259.461876788008,258.957537626986,258.468453902402,257.993947707724,257.533381967423,420.222768565629,415.505029529476,410.43344677233,405.441075586097,401.147233977863,396.334681389368,391.583360382145,387.649128235628,383.052451481958,379.327743530001,374.853599700475
390,262.181690203643,261.573118378208,260.984786682726,260.415720659392,259.864986894425,259.331698488883,258.815046513538,258.314258488532,257.828612176829,257.357437169563,256.900100912352,417.653979025279,412.959417768426,407.881090121278,402.880366126576,398.612975019309,393.798532936544,389.045065524428,385.125123320295,380.513298205257,376.812816640767,372.334239341732
400,261.510820647948,260.906614615031,260.322502207509,259.757514258141,259.210697781828,258.681197737483,258.168204086994,257.670949515864,257.188726511993,256.720868822014,256.266717248716,415.066151194439,410.400440509303,405.320623479702,400.318251588287,396.07079189743,391.244601633319,386.478106354091,382.585737702724,377.971372011957,374.282801103006,369.788333555992
410,260.840053368651,260.240194276699,259.660296310172,259.09934385081,258.55642807672,258.030697249624,257.521338854151,257.027603817981,256.548789825832,256.084210271581,255.633245060331,412.470500139337,407.827813754316,402.740366487098,397.728742624518,393.507934438695,388.679765860368,383.909048174233,380.030906726842,375.400669871106,371.739509873449,367.23610658687
420,260.169380841406,259.573870573813,258.99813621845,258.441202138481,257.902170021435,257.380182758646,256.874444479405,256.384214239492,255.908775914893,255.447466541434,254.99967968345,409.852951360349,405.239774859592,400.150751711569,395.137391749788,390.936102225562,386.095258033548,381.312556411552,377.462630323277,372.8261208609,369.176847740402,364.661002218353
430,259.498810397205,258.90760719814,258.336014575212,257.783081936486,257.247909042323,256.729647097024,256.22751373551,255.74076074068,255.268680530422,254.810635703311,254.366014071071,407.228967982454,402.63868186779,397.541106363524,392.517557870284,388.343897169825,383.500983084866,378.711123410401,374.87538599312,370.225673053493,366.604455610322,362.074232549361
440,258.828324585078,258.241392513359,257.673923832175,257.12497274094,256.59363527133,256.079082967431,255.580532414637,255.097230136328,254.628504442583,254.173710635055,253.732227297262,404.580902575784,400.020812195203,394.921571729782,389.896196247959,385.740853899029,380.884298092846,376.084315846648,372.277461016086,367.616810783591,364.007483046097,359.46916218185
450,258.157898218956,257.57521891055,257.01185827651,256.466859560213,255.939341343186,255.428481308385,254.933479364157,254.453625573923,253.988240454748,253.536676465664,253.098291300009,401.927028450437,397.389716531286,392.280962857935,387.244422879838,383.118523947342,378.259803766554,373.448802641371,369.656124808377,364.985827641031,361.405099032837,357.210451549315
