Heights,Vz_closed_m25,Vz_closed_m25_2,Vz_closed_m25_4,Vz_closed_m25_6,Vz_closed_m25_8,Vz_closed_m26,Vz_closed_m26_2,Vz_closed_m26_4,Vz_closed_m26_6,Vz_closed_m26_8,Vz_closed_m27,Vz_open_m25,Vz_open_m25_2,Vz_open_m25_4,Vz_open_m25_6,Vz_open_m25_8,Vz_open_m26,Vz_open_m26_2,Vz_open_m26_4,Vz_open_m26_6,Vz_open_m26_8,Vz_open_m27
0,150.846880553841,150.755701715995,150.666036023388,150.577846282253,150.491096501956,150.405751847007,150.321778591336,150.239144074712,150.157816661185,150.077765699449,149.998961485017,172.544185373905,172.234303532337,171.930089894345,171.631398657124,171.338088443052,171.051041503111,170.769176322325,170.492234947262,170.220095927555,169.952641387187,169.68975692403
10,149.979786813635,149.890007957289,149.801727036372,149.71490695883,149.62951184419,149.545506974619,149.462858748337,149.381534635242,149.301503134632,149.222733734901,149.145196875121,171.263073887669,170.959493657087,170.661585776916,170.36919697614,170.08217918931,169.800389358481,169.523816538293,169.252270360338,168.985529203072,168.723469689931,168.465972455827
20,149.110311729332,149.022009117138,148.935179470641,148.849786320102,148.765794387065,148.683129120758,148.601762401603,148.521698477799,148.442906373945,148.365356086695,148.289018547014,169.985652757257,169.688264864355,169.396417799663,169.109962234268,168.828753902748,168.552653410233,168.281526046317,168.015270598328,167.75387851478,167.497061946199,167.244704525686
30,148.238270010136,148.151352175982,148.065883299638,147.981827527595,147.899150176805,147.817817687427,147.737797577832,147.659058401754,147.581569707458,147.50530199882,147.430226698225,168.711085667398,168.419620030229,168.133737125866,167.853120726993,167.577630279546,167.307129966248,167.041488525501,166.780579076971,166.524278953757,166.272556558445,166.025260989185
40,147.363756779503,147.278214099637,147.194096555244,147.111368903845,147.029997052791,146.949948012873,146.87118985414,146.793691663828,146.717423506267,146.64235638467,146.56846220469,167.43921467005,167.153667234984,166.873431751743,166.598540591825,166.328678558763,166.063691300218,165.803450923404,165.547833795862,165.296720382271,165.049995087579,164.807546106276
50,146.486283921079,146.40218491198,146.319486638496,146.238154466268,146.158154890915,146.079455492433,146.002015754422,145.92574999654,145.850693978659,145.776819199164,145.704098042966,166.16972766093,165.89008287152,165.615625543744,165.346215855018,165.081770814468,164.822211456869,164.567289192895,164.316883563189,164.070878092076,163.829160135107,163.591620732617
60,145.606154738058,145.523409484836,145.442041547578,145.362016891962,145.283302593404,145.205866792299,145.129678651405,145.054708315252,144.980926871466,144.908306313901,144.836819507484,164.902489582773,164.628654380257,164.359884658236,164.096044251865,163.837001651161,163.582629817261,163.332880919632,163.0876077542,162.846633191806,162.609847471452,162.377144414741
70,144.723337825553,144.642012476711,144.561965538408,144.48323924003,144.405801231857,144.329620209928,144.254665874215,144.180908888793,144.108320843876,144.036874219633,143.966542351689,163.637367343932,163.369250808929,163.106080211351,162.847722958071,162.594050978645,162.344940546928,162.100272109913,161.859930123591,161.623868236233,161.391941277636,161.164002909487
80,143.837355521722,143.757365420216,143.678705574395,143.601343138471,143.525246336951,143.450384421484,143.376727629784,143.304247146496,143.232915065915,143.162704356441,143.093523882865,162.374398985879,162.111750956088,161.8540850593,161.6011267649,161.352743418523,161.108814529849,160.869223663113,160.63385827783,160.402609576115,160.175372356382,159.952083247713
90,142.948656703579,142.869989584862,142.792629884576,142.716545340952,142.64170474284,142.568077887388,142.495635539727,142.42434939459,142.354192039728,142.285136921034,142.217158309299,161.113383392403,160.856275587476,160.603901125234,160.356132960205,160.112957166866,159.8741317139,159.639542308756,159.409079345802,159.182636855718,158.960112363571,158.741406752858
100,142.056834322354,141.979556976773,141.903563590089,141.82882248522,141.755303016586,141.682965920663,141.611729453689,141.541629240381,141.472638357741,141.404730725106,141.337881071521,159.854065747463,159.602413025611,159.355380565531,159.112844696477,158.874685988488,158.640789081575,158.411111033382,158.185477901693,157.963770845736,157.745890055917,157.531738985815
110,141.161926547141,141.085951015352,141.011237002718,140.937753405318,140.86547013145,140.794358060871,140.724389005988,140.655535674891,140.587771636122,140.5210712851,140.455409812093,158.596319552386,158.350038663479,158.108267160243,157.870884668126,157.637774929983,157.408825640534,157.183928287973,156.962978002461,156.745898826965,156.532594154858,156.322931689095
120,140.264040639828,140.189433560021,140.116021583764,140.043786496829,139.972730589733,139.902825272994,139.834042872224,139.766356591876,139.699740480703,139.634169398822,139.569618986316,157.340138258317,157.099044838621,156.862439548931,156.630133222823,156.401997238066,156.177922274259,155.957802694305,155.7415363976,155.529024679603,155.320172097539,155.11488634197
130,139.362661692453,139.289335345764,139.217225383791,139.146301840508,139.076535724375,139.007898979121,138.940364446403,138.873905830233,138.808497663086,138.744115273583,138.68073475568,156.085366099862,155.849477909357,155.617898880446,155.390513964726,155.167236139719,154.947963754323,154.732552007264,154.520901505041,154.312916151798,154.108503019188,153.907572221937
140,138.458297805163,138.386242909594,138.315382531586,138.245687262545,138.177128649641,138.109679157364,138.043312130922,137.978001761376,137.913723052409,137.850451788651,137.788164505472,154.831761718455,154.601000726864,154.374444019272,154.151979652854,153.933499522832,153.718899206165,153.508077812258,153.300962042948,153.097437900233,152.897400648758,152.700762774335
