N,E,D,Vn,Ve
-0.24485868293957,0.00862989006160841,-1816.09745468667,0.274109934121607,0.0332871826618619
-0.242117583598353,0.00896276188822703,-1793.70144361695,0.278779871917798,0.0290075201751877
-0.242117583598353,0.00896276188822703,-1793.70144361695,0.278779871917798,0.0290075201751877
-0.239329784879175,0.00925283708997891,-1771.72074929276,0.283538101725479,0.0242163388640233
-0.232722784854462,0.0825716594803749,-1750.18800554769,0.250174811399234,-0.0141673829828857
-0.232722784854462,0.0825716594803749,-1750.18800554769,0.250174811399234,-0.0141673829828857
-0.303751575999746,-0.0827984792608695,-1729.06996125982,0.227590658492349,-0.0229923579569276
-0.301475669414823,-0.0830284028404388,-1708.39419499251,0.232497399572157,-0.0277372380198922
-0.301475669414823,-0.0830284028404388,-1708.39419499251,0.232497399572157,-0.0277372380198922
-0.293922966426193,-0.0979345265906563,-1688.14479562972,0.173585200848707,-0.114304939428382
-0.292187114417706,-0.0990775759849401,-1668.36723887422,0.178794075015254,-0.119059635651597
-0.292187114417706,-0.0990775759849401,-1668.36723887422,0.178794075015254,-0.119059635651597
-0.11683058621173,-0.00580698854650354,-1648.92971784579,0.119739764409678,-0.151105142850606
-0.115633188567633,-0.00731803997500959,-1629.90708465993,0.124782787888687,-0.156310085079035
-0.115633188567633,-0.00731803997500959,-1629.90708465993,0.124782787888687,-0.156310085079035
-0.0900471178642899,-0.212812937807027,-1611.30297610755,0.192604460929028,-0.252441951337889
-0.0881210732549996,-0.215337357320406,-1593.13978164069,0.197449855740922,-0.257641595653564
-0.0881210732549996,-0.215337357320406,-1593.13978164069,0.197449855740922,-0.257641595653564
-0.0861465746975904,-0.217913773276942,-1575.38673314031,0.202857015703552,-0.262810029982015
-0.252566107992013,-0.306766508423868,-1557.99212791086,0.190642063172835,-0.22052189576104
-0.252566107992013,-0.306766508423868,-1557.99212791086,0.190642063172835,-0.22052189576104
-0.406392398738675,-0.225584325023391,-1541.02776723297,0.116786979413156,-0.153427126148136
-0.405224528944543,-0.227118596284873,-1524.45198802768,0.121989156274873,-0.158486995346784
-0.405224528944543,-0.227118596284873,-1524.45198802768,0.121989156274873,-0.158486995346784
-0.603400728124849,-0.116415416148647,-1508.29287531763,0.127929162597693,-0.274742936778822
-0.602121436498872,-0.119162845516435,-1492.57558845468,0.133272436069771,-0.279957491193233
-0.602121436498872,-0.119162845516435,-1492.57558845468,0.133272436069771,-0.279957491193233
-0.434779341847572,-0.154041172345311,-1477.12488672185,0.177753018994171,-0.294262612796475
-0.43300181165763,-0.156983798473276,-1462.09162939612,0.182796506025224,-0.299468369353478
-0.43300181165763,-0.156983798473276,-1462.09162939612,0.182796506025224,-0.299468369353478
-0.303737241347238,-0.12296521319885,-1447.3610897436,0.237101595073561,-0.245940771444858
-0.301366225396503,-0.125424620913298,-1433.03167045414,0.242460911111459,-0.250748468109024
-0.301366225396503,-0.125424620913298,-1433.03167045414,0.242460911111459,-0.250748468109024
-0.298941616285388,-0.127932105594388,-1419.10244232065,0.248193853347404,-0.256485037687305
-0.38839132920457,-0.00818527186024785,-1405.40624060621,0.257211712615106,-0.184242411734685
-0.38839132920457,-0.00818527186024785,-1405.40624060621,0.257211712615106,-0.184242411734685
-0.406403629088746,0.0965973710876885,-1392.00231735565,0.398975487790873,-0.246688535370292
-0.402413874210837,0.0941304857339856,-1378.95738844775,0.404060103937308,-0.252048301458494
-0.402413874210837,0.0941304857339856,-1378.95738844775,0.404060103937308,-0.252048301458494
-0.303462628113635,0.107195209726924,-1366.3160653288,0.454303923368756,-0.284667388172469
-0.298919588879948,0.104348535845199,-1353.95320610875,0.459741005421133,-0.290089908591335
-0.298919588879948,0.104348535845199,-1353.95320610875,0.459741005421133,-0.290089908591335
-0.184957303512208,-0.12482044780069,-1341.85574302367,0.591871287718131,-0.331045375560959
-0.179038590635027,-0.128130901556299,-1330.12473297475,0.597361193774595,-0.336317079852546
-0.179038590635027,-0.128130901556299,-1330.12473297475,0.597361193774595,-0.336317079852546
-0.0469779353784452,-0.167568218205258,-1318.62276225371,0.489333167560715,-0.330066089825006
-0.042084603702838,-0.170868879103508,-1307.38034264666,0.319125134339632,-0.251779962443684
-0.042084603702838,-0.170868879103508,-1307.38034264666,0.319125134339632,-0.251779962443684
-0.0388933523594417,-0.173386678727945,-1296.49247568854,0.141307720145608,-0.167369417467456
-0.131201764778477,-0.0134905649235176,-1285.85804369505,-0.117048736065636,-0.0983454057535129
-0.131201764778477,-0.0134905649235176,-1285.85804369505,-0.117048736065636,-0.0983454057535129
-0.237967700098909,-0.124062587528048,-1275.54053547596,-0.248628472295797,0.0995752589729956
-0.240453984821867,-0.123066834938318,-1265.4040003414,-0.452629694335272,0.212178177408016
-0.240453984821867,-0.123066834938318,-1265.4040003414,-0.452629694335272,0.212178177408016
-0.276316295949933,-0.203162593735268,-1255.61403087211,-0.616171562299022,0.370688593615119
-0.282478011572923,-0.199455707799117,-1246.1027805817,-0.84975445648273,0.510115975899456
-0.282478011572923,-0.199455707799117,-1246.1027805817,-0.84975445648273,0.510115975899456
-0.367454152867717,-0.19162507209683,-1236.80845905764,-1.00792241808709,0.601772239205556
-0.377533377048588,-0.185607349704775,-1227.71254892199,-1.27705092981955,0.769242709590679
-0.377533377048588,-0.185607349704775,-1227.71254892199,-1.27705092981955,0.769242709590679
-0.59262963434557,-0.192160340911041,-1218.83680440758,-1.43338934215684,0.801854783122887
-0.606963527767138,-0.184141793079813,-1210.29558134263,-1.71100137260689,0.976458801218404
-0.606963527767138,-0.184141793079813,-1210.29558134263,-1.71100137260689,0.976458801218404
-0.624073541493207,-0.174377205067629,-1201.89741569242,-1.96360387292298,1.1351937274046
-0.824642350462683,-0.0628142621884541,-1193.76284958399,-2.29643703009755,1.35740698159458
-0.824642350462683,-0.0628142621884541,-1193.76284958399,-2.29643703009755,1.35740698159458
-0.766579811765083,-0.19309191184163,-1185.79886640066,-2.49724229702129,1.63099467595601
-0.791552234735295,-0.17678196508207,-1178.05392579226,-2.68227716178938,1.74457962609067
-0.791552234735295,-0.17678196508207,-1178.05392579226,-2.68227716178938,1.74457962609067
-0.939770294820902,-0.177576407422217,-1170.55091261906,-2.79963513908618,1.88032763777253
-0.967766646211764,-0.158773131044492,-1163.26393596875,-2.94783749892463,1.96713793052619
-0.967766646211764,-0.158773131044492,-1163.26393596875,-2.94783749892463,1.96713793052619
-0.958282394259535,-0.439891726305621,-1156.12487378749,-3.01028938209799,2.0101898337795
-0.988385288080515,-0.419789827967825,-1149.22356316381,-3.12923361111295,2.07558837818342
-0.988385288080515,-0.419789827967825,-1149.22356316381,-3.12923361111295,2.07558837818342
-1.01484517437096,-0.415855960478566,-1142.50240277066,-3.24047057823485,1.98431271673278
-1.04724988015331,-0.396012833311239,-1135.961504989,-3.33775326727143,2.03213137414588
-1.04724988015331,-0.396012833311239,-1135.961504989,-3.33775326727143,2.03213137414588
-1.08062741282602,-0.37569151956978,-1129.62012366938,-3.42610113222344,2.07315941228789
-1.23907322068195,-0.330388228985441,-1123.41918345369,-3.53128264206623,2.12931316593277
-1.23907322068195,-0.330388228985441,-1123.41918345369,-3.53128264206623,2.12931316593277
-1.15208351444857,-0.303897725622132,-1117.36189381042,-3.60219202884964,2.12056122930464
-1.18810543473706,-0.282692113329086,-1111.45731004875,-3.67416254663936,2.14647061921317
-1.18810543473706,-0.282692113329086,-1111.45731004875,-3.67416254663936,2.14647061921317
-1.19323228853098,-0.0871802684473912,-1105.75603836931,-3.76191334630694,2.18237372389349
-1.23085142199405,-0.0653565312084563,-1100.22817156047,-3.82710040671834,2.20288830242478
-1.23085142199405,-0.0653565312084563,-1100.22817156047,-3.82710040671834,2.20288830242478
-1.41377873775647,0.0963677229026177,-1094.83515649052,-3.95204513562083,2.29242823053257
-1.45329918911268,0.119292005207943,-1089.57260880707,-4.01394956688344,2.30982526859365
-1.45329918911268,0.119292005207943,-1089.57260880707,-4.01394956688344,2.30982526859365
-1.47452254698521,0.194167664984096,-1084.43601307298,-3.92547467878754,2.26998006733857
-1.51377729377309,0.216867465657482,-1079.47945493201,-3.98689459803738,2.28671492202757
-1.51377729377309,0.216867465657482,-1079.47945493201,-3.98689459803738,2.28671492202757
-1.55364623975346,0.239734614877758,-1074.59320281109,-4.0492085968155,2.30440006548679
-1.39696701931044,0.346490432394502,-1069.90604998249,-4.23152123026799,2.50134678306355
-1.39696701931044,0.346490432394502,-1069.90604998249,-4.23152123026799,2.50134678306355
-1.22523604171142,0.287685909341963,-1065.41765305746,-4.29437672177014,2.66836032737889
-1.26817980892912,0.314369512615752,-1060.95537214603,-4.3614224874966,2.68977652009567
-1.26817980892912,0.314369512615752,-1060.95537214603,-4.3614224874966,2.68977652009567
-1.4112985725411,0.415942421653846,-1056.62087368982,-4.47314691127174,2.64575680059345
-1.45603004165382,0.442399989659781,-1052.39027164173,-4.54427773990633,2.67100957718893
-1.45603004165382,0.442399989659781,-1052.39027164173,-4.54427773990633,2.67100957718893
-1.30598918008899,0.418469327058783,-1048.32653805153,-4.60848412492062,2.6572468089884
-1.3520740213382,0.445041795148667,-1044.37248552849,-4.68502492981786,2.68638881748376
-1.3520740213382,0.445041795148667,-1044.37248552849,-4.68502492981786,2.68638881748376
-1.42240412987784,0.360581986574322,-1040.52873025578,-4.60462087192287,2.79098945474594
-1.46845033859707,0.388491881121781,-1036.82498972124,-4.68644423922421,2.82429939658297
-1.46845033859707,0.388491881121781,-1036.82498972124,-4.68644423922421,2.82429939658297
-1.51531478098932,0.416734875087611,-1033.25073757176,-4.77021239119161,2.85950292956543
-1.56511890860005,0.635377858807736,-1029.66256709122,-4.80090327876566,3.01932610262458
-1.56511890860005,0.635377858807736,-1029.66256709122,-4.80090327876566,3.01932610262458
-1.45976099488922,0.581958031351752,-1026.22548224206,-4.68576395754131,3.07524212361812
-1.50661863446463,0.612710452587933,-1022.86483517213,-4.77671002577711,3.11518909879989
-1.50661863446463,0.612710452587933,-1022.86483517213,-4.77671002577711,3.11518909879989
-1.4099907030142,0.621736704738823,-1019.66819791887,-4.83292537960506,3.15427188626578
-1.45831995681025,0.653279423601481,-1016.56625671904,-4.9273964982131,3.19582752616806
-1.45831995681025,0.653279423601481,-1016.56625671904,-4.9273964982131,3.19582752616806
-1.72347516306445,0.726945882389486,-1013.60090803632,-4.99679958123177,3.29050601484187
-1.77344315887676,0.759850942537904,-1010.6473403349,-5.09403115020334,3.3334858533425
-1.77344315887676,0.759850942537904,-1010.6473403349,-5.09403115020334,3.3334858533425
-1.84825581996255,0.718574244996054,-1007.81040435134,-5.242830053874,3.29535445871112
-1.90068412050129,0.751527789583165,-1005.07420456601,-5.34223147084301,3.33924026982693
-1.90068412050129,0.751527789583165,-1005.07420456601,-5.34223147084301,3.33924026982693
-1.95410643520972,0.784920192281435,-1002.3531718109,-5.44216039473599,3.38295858305022
-2.24685879721332,0.930038662793537,-999.724161976557,-5.65102700531442,3.36961442516807
-2.24685879721332,0.930038662793537,-999.724161976557,-5.65102700531442,3.36961442516807
-2.32068820955598,0.989208871031599,-997.211730556065,-5.85867830280806,3.40109711450743
-2.37927499258406,1.02321984217667,-994.709858355073,-5.95993137358813,3.44401917992501
-2.37927499258406,1.02321984217667,-994.709858355073,-5.95993137358813,3.44401917992501
-2.34199373123766,1.04449546581847,-992.391887327311,-6.07420647537787,3.50380742284747
-2.40273579599144,1.07953354004694,-990.062780651246,-6.17604386347153,3.54600505879951
-2.40273579599144,1.07953354004694,-990.062780651246,-6.17604386347153,3.54600505879951
-2.24229784534365,1.03414524762855,-987.852100131933,-6.3011856782747,3.64111586870335
-2.3053097021264,1.07055640631558,-985.669751666784,-6.40226017950379,3.68203290047571
-2.3053097021264,1.07055640631558,-985.669751666784,-6.40226017950379,3.68203290047571
-2.33960592413168,1.08344323876943,-983.541018630612,-6.47296687326719,3.67814852952512
-2.40433559286435,1.12022472406468,-981.491553111425,-6.5738008705422,3.71726730496846
-2.40433559286435,1.12022472406468,-981.491553111425,-6.5738008705422,3.71726730496846
-2.47007360156977,1.15739739711437,-979.541686559076,-6.67417448066935,3.7557700736331
-2.39536553447381,1.07077080844185,-977.58159452015,-6.85329648321084,3.82547960160354
-2.39536553447381,1.07077080844185,-977.58159452015,-6.85329648321084,3.82547960160354
-2.5704736797692,1.1539719545991,-975.709382104447,-7.15612940070624,3.78423686052612
-2.64203497377626,1.19181432320436,-973.894433751388,-7.25507140359743,3.81961733277742
-2.64203497377626,1.19181432320436,-973.894433751388,-7.25507140359743,3.81961733277742
-2.78277239086088,1.1859148983318,-972.040762031908,-7.27863189414661,3.73267149036439
-2.85555870980234,1.22324161323544,-970.36589928464,-7.37604299104206,3.76693340784405
-2.85555870980234,1.22324161323544,-970.36589928464,-7.37604299104206,3.76693340784405
-3.19310839135046,1.18444864265029,-968.708853145947,-7.49298177225592,3.88112204308256
-3.26803820907301,1.22325986308112,-967.10116123889,-7.58925920833068,3.91293367401762
-3.26803820907301,1.22325986308112,-967.10116123889,-7.58925920833068,3.91293367401762
-3.27344012137497,1.41314916660909,-965.572295875318,-7.7658088212041,3.89834393361895
-3.35109820958701,1.45213260594528,-964.091872960343,-7.86118996677017,3.92816232592387
-3.35109820958701,1.45213260594528,-964.091872960343,-7.86118996677017,3.92816232592387
-3.42971010925471,1.49141422920452,-962.693023081714,-7.95614676521409,3.95723171204446
-3.67580015566346,1.58546060381736,-961.310420929118,-8.14167761059518,4.04676979343968
-3.67580015566346,1.58546060381736,-961.310420929118,-8.14167761059518,4.04676979343968
-3.64296967885985,1.5532159827884,-960.015138196411,-8.20401148553964,4.11186019281309
-3.72500979371525,1.59433458471653,-958.781063624707,-8.29695023959005,4.13854990551398
-3.72500979371525,1.59433458471653,-958.781063624707,-8.29695023959005,4.13854990551398
-3.86351071325809,1.63788402445448,-957.561291576325,-8.44251878181168,4.17316865986129
-3.9479359010762,1.6796157110531,-956.378055198097,-8.53437761508173,4.19823664818804
-3.9479359010762,1.6796157110531,-956.378055198097,-8.53437761508173,4.19823664818804
-3.89891250720628,1.84386562768551,-955.128954541686,-8.60609613156118,4.15566738323821
-3.98497346852189,1.88542230151789,-954.029555333268,-8.69654509498083,4.17938709812666
-3.98497346852189,1.88542230151789,-954.029555333268,-8.69654509498083,4.17938709812666
-3.98078095280972,1.90691839463088,-952.909699622519,-8.780237037474,4.03771214887649
-4.06858332318446,1.94729551611964,-951.832196730511,-8.87052261035927,4.05898835054721
-4.06858332318446,1.94729551611964,-951.832196730511,-8.87052261035927,4.05898835054721
-4.15728854928806,1.98788539962511,-950.807792276557,-8.9600806882164,4.08031704835594
-4.26195870230587,2.10835800336511,-949.794438795074,-9.13166018700593,4.19893184398041
-4.26195870230587,2.10835800336511,-949.794438795074,-9.13166018700593,4.19893184398041
-4.402372161719,1.98689262614527,-948.900894860914,-9.28309965383865,4.19664893060379
-4.49520315825738,2.02885911545131,-947.965561567558,-9.3715834358081,4.21524255535653
-4.49520315825738,2.02885911545131,-947.965561567558,-9.3715834358081,4.21524255535653
-4.58021016187686,2.13710385411573,-947.098804253169,-9.48540938021198,4.23483221922258
-4.67506425567898,2.17945217630795,-946.296379263891,-9.57290420850729,4.25194004464133
-4.67506425567898,2.17945217630795,-946.296379263891,-9.57290420850729,4.25194004464133
-4.75791585333904,2.02409836311288,-945.461609029638,-9.71241084322685,4.28293252954173
-4.8550399617713,2.06692768840829,-944.638546962985,-9.79870225956824,4.2986992428805
-4.8550399617713,2.06692768840829,-944.638546962985,-9.79870225956824,4.2986992428805
-5.15923060659516,1.95247013472175,-943.957000875036,-9.82707022255807,4.39450965145306
-5.25750130882074,1.99641523123628,-943.242101313228,-9.91254706154095,4.40846541639175
-5.25750130882074,1.99641523123628,-943.242101313228,-9.91254706154095,4.40846541639175
-5.35662677943615,2.0404998854002,-942.580273572105,-9.99732645015067,4.42162084110585
-5.43599206749378,2.33859574137503,-941.879594492925,-10.0245924012945,4.56794930058221
-5.43599206749378,2.33859574137503,-941.879594492925,-10.0245924012945,4.56794930058221
-5.55406253465388,2.54282094799565,-941.278667039312,-10.2199966915241,4.58188026717988
-5.65626250156912,2.58863975066745,-940.689128651505,-10.3030881661069,4.5932138166832
-5.65626250156912,2.58863975066745,-940.689128651505,-10.3030881661069,4.5932138166832
-5.82553290754252,2.54758211293103,-940.100896979571,-10.5039798334657,4.52649129366085
-5.93057270587717,2.59284702586764,-939.50797000005,-10.5858193047475,4.53580429399855
-5.93057270587717,2.59284702586764,-939.50797000005,-10.5858193047475,4.53580429399855
-5.89870346857541,2.59812539026118,-938.958711461309,-10.4193139335038,4.65735023059394
-6.00289660791045,2.64469889256712,-938.45686484869,-10.5001211841739,4.66538110896148
-6.00289660791045,2.64469889256712,-938.45686484869,-10.5001211841739,4.66538110896148
-6.12854911352914,2.65304552194293,-937.953816536655,-10.505879740192,4.56757514289507
-6.23360791093106,2.69872127337188,-937.4278137851,-10.5854717354825,4.57377361294201
-6.23360791093106,2.69872127337188,-937.4278137851,-10.5854717354825,4.57377361294201
-6.33946262828588,2.7444590095013,-936.994638941195,-10.6640663352128,4.57929172168622
-6.46238547740907,2.95621308467969,-936.569201733696,-10.6853006207948,4.56883785556789
-6.46238547740907,2.95621308467969,-936.569201733696,-10.6853006207948,4.56883785556789
-6.54670768817084,3.135632930828,-936.185287998965,-10.7689585961337,4.58151351761852
-6.65439727413218,3.18144806600418,-935.738543649474,-10.8461243557576,4.58504249263694
-6.65439727413218,3.18144806600418,-935.738543649474,-10.8461243557576,4.58504249263694
-6.5934135845783,3.04139725441554,-935.356973454466,-10.8910683775971,4.65289991156231
-6.70232426835428,3.08792625353116,-935.015633844998,-10.9661396038549,4.65503956036311
-6.70232426835428,3.08792625353116,-935.015633844998,-10.9661396038549,4.65503956036311
-6.90205373522558,3.30435139108419,-934.667287441265,-11.1329647908168,4.67427157588502
-7.01338338313375,3.35109410684304,-934.320569187747,-11.2066747961953,4.67497543525858
-7.01338338313375,3.35109410684304,-934.320569187747,-11.2066747961953,4.67497543525858
-7.07936026067849,3.37539942523726,-934.050917789866,-11.2675385485356,4.67038934606953
-7.19203564616384,3.42210331869795,-933.784251347947,-11.3399368015742,4.66958387712417
-7.19203564616384,3.42210331869795,-933.784251347947,-11.3399368015742,4.66958387712417
-7.30543501417958,3.46879915746919,-933.452268808568,-11.4114611562827,4.66785063107776
-7.42731163339444,3.59222140817653,-933.211518603232,-11.6401402646675,4.55027408190919
-7.42731163339444,3.59222140817653,-933.211518603232,-11.6401402646675,4.55027408190919
-7.54368441020353,3.65057971532096,-933.015561698313,-11.7633885722325,4.52763774611489
-7.66131829592586,3.69585609278211,-932.826590889578,-11.8327736944045,4.52368496836074
-7.66131829592586,3.69585609278211,-932.826590889578,-11.8327736944045,4.52368496836074
-8.06424182622034,3.99385862033524,-932.662617888195,-11.8522447018408,4.6115884695826
-8.18276427323874,4.03997450503107,-932.479080230075,-11.9200628563813,4.606648714486
-8.18276427323874,4.03997450503107,-932.479080230075,-11.9200628563813,4.606648714486
-8.45626223188174,3.98389536359281,-932.215155061035,-12.0089517241018,4.68451148356463
-8.57635174912276,4.03074047842845,-932.109144766473,-12.0756522793717,4.6777356045389
-8.57635174912276,4.03074047842845,-932.109144766473,-12.0756522793717,4.6777356045389
-8.54300978009309,4.17137907515972,-932.006186461037,-12.2161403856127,4.6477518117784
-8.66517118394921,4.2178565932775,-931.799613120786,-12.2814650467154,4.63937257195056
-8.66517118394921,4.2178565932775,-931.799613120786,-12.2814650467154,4.63937257195056
-8.78798583441637,4.26425031899701,-931.724965607618,-12.3455207199838,4.63099270864915
-8.85074120965512,4.31008060044755,-931.630310955271,-12.4964279021494,4.52227001825936
-8.85074120965512,4.31008060044755,-931.630310955271,-12.4964279021494,4.52227001825936
-8.88497680901044,4.24295199025171,-931.565137629246,-12.6985090033808,4.48725671312474
-9.01196189904425,4.28782455738295,-931.547091882289,-12.7597689708174,4.4769818832676
-9.01196189904425,4.28782455738295,-931.547091882289,-12.7597689708174,4.4769818832676
-9.14617671660361,4.29371344284559,-931.582204795984,-12.927407535645,4.55429977247713
-9.27545079196006,4.33925644057036,-931.522757035578,-12.9877745140889,4.54304445196382
-9.27545079196006,4.33925644057036,-931.522757035578,-12.9877745140889,4.54304445196382
-9.30454320591733,4.42881824950085,-931.462297614922,-13.0396322844034,4.51446711223391
-9.43493952876136,4.47396292062319,-931.428962923287,-13.0987995169535,4.50161448343297
-9.43493952876136,4.47396292062319,-931.428962923287,-13.0987995169535,4.50161448343297
-9.56982250570644,4.46236935074703,-931.470050557118,-12.9815503351029,4.42351031728024
-9.69963800905747,4.50660445391983,-931.504692322002,-13.039017460739,4.40961316975039
-9.69963800905747,4.50660445391983,-931.504692322002,-13.039017460739,4.40961316975039
-9.83002818366486,4.55070058561734,-931.527986195789,-13.0955239202356,4.39514764588199
-10.290331826117,4.51401695662026,-931.488612623699,-13.1587625427898,4.30016599613256
-10.290331826117,4.51401695662026,-931.488612623699,-13.1587625427898,4.30016599613256
-10.4683834753072,4.51776945450591,-931.507680529758,-13.2394873611589,4.24642874216809
-10.6007783489188,4.56023374192759,-931.513261738716,-13.2938179541029,4.23045056955278
-10.6007783489188,4.56023374192759,-931.513261738716,-13.2938179541029,4.23045056955278
-10.7072022205151,4.6307459657635,-931.527941052647,-13.3470099410047,4.29498742174157
-10.8406723199251,4.67369583998092,-931.515534391171,-13.3999767823397,4.27811306206916
-10.8406723199251,4.67369583998092,-931.515534391171,-13.3999767823397,4.27811306206916
-10.9082371059054,4.64231593593387,-931.531118652518,-13.5032762315695,4.21661600262628
-11.0432698682211,4.68448209596013,-931.543060782506,-13.5549957705525,4.19834245841864
-11.0432698682211,4.68448209596013,-931.543060782506,-13.5549957705525,4.19834245841864
-11.1334760790945,4.5717822378483,-931.585895627228,-13.7049630928838,4.11027220359427
-11.2705257100233,4.61288495988424,-931.616702622749,-13.7550797683105,4.09101992851189
-11.2705257100233,4.61288495988424,-931.616702622749,-13.7550797683105,4.09101992851189
-11.4080765077064,4.65379515916936,-931.685199841881,-13.8042912003625,4.07167169537374
-11.8828274758112,4.81615166150853,-931.798947706883,-13.9866436970086,4.11238580954617
-11.8828274758112,4.81615166150853,-931.798947706883,-13.9866436970086,4.11238580954617
-12.0969908938313,4.91317076413193,-931.91465146876,-14.0032329376769,4.10734654580019
-12.237023223208,4.95424422958993,-931.923311208433,-14.0501175516174,4.08669577105272
-12.237023223208,4.95424422958993,-931.923311208433,-14.0501175516174,4.08669577105272
-12.5887415069524,4.98648874141068,-932.016033467007,-14.0822979063775,4.13505518919131
-12.7295644860162,5.02783929330259,-932.099957606051,-14.128477746992,4.11322148660575
-12.7295644860162,5.02783929330259,-932.099957606051,-14.128477746992,4.11322148660575
-12.8575605771002,5.01936779180565,-932.128268654393,-14.2102935911831,4.03181088031746
-12.999663513012,5.05968590060882,-932.137091503892,-14.2544613958191,4.00937076053659
-12.999663513012,5.05968590060882,-932.137091503892,-14.2544613958191,4.00937076053659
-13.0270221872086,5.01757169266171,-932.169142632858,-14.1868465519204,3.98256623683427
-13.1688906527278,5.05739735503005,-932.268146910105,-14.2301897704244,3.95945336636318
-13.1688906527278,5.05739735503005,-932.268146910105,-14.2301897704244,3.95945336636318
-13.3111925504321,5.09699188869368,-932.419934157216,-14.2723806073255,3.93564846032643
-13.3882234566287,5.17889586595482,-932.518816301738,-14.2935709015543,3.87237342351967
-13.3882234566287,5.17889586595482,-932.518816301738,-14.2935709015543,3.87237342351967
-13.7907152425325,5.24015786589272,-932.675365310517,-14.3877240741474,3.9361987068668
-13.934592483274,5.27951985296139,-932.818522935242,-14.4281951535457,3.91158588065643
-13.934592483274,5.27951985296139,-932.818522935242,-14.4281951535457,3.91158588065643
-14.0738378784264,5.31778572936386,-932.962063691501,-14.5585976660809,3.95959307421928
